PERIODO,QTY_INJURED,QTY_KILLED,QTY_UNSPECIFIED,QTY_TOTAL
2012/07,4855,22,16,4893
2012/08,4751,27,13,4791
2012/09,4689,26,17,4732
2012/10,4566,21,14,4601
2012/11,3995,14,1,4010
2012/12,4591,27,26,4644
2013/01,4043,29,0,4072
2013/02,3562,20,16,3598
2013/03,4187,23,4,4214
2013/04,4437,16,6,4459
2013/05,5025,16,14,5055
2013/06,5110,23,21,5154
2013/07,5086,24,19,5129
2013/08,4849,35,22,4906
2013/09,4992,26,18,5036
2013/10,4842,23,19,4884
2013/11,4705,36,9,4750
2013/12,4285,26,15,4326
2014/01,3921,23,15,3959
2014/02,3106,13,43,3162
2014/03,3852,18,42,3912
2014/04,4048,22,48,4118
2014/05,4658,26,15,4699
2014/06,4985,22,45,5052
2014/07,4605,29,41,4675
2014/08,4478,22,13,4513
2014/09,4465,28,37,4530
2014/10,4727,20,16,4763
2014/11,4243,26,23,4292
2014/12,4124,13,41,4178
2015/01,3485,16,23,3524
2015/02,3005,16,1,3022
2015/03,3679,13,57,3749
2015/04,3924,21,48,3993
2015/05,4826,29,60,4915
2015/06,4658,20,94,4772
2015/07,4729,20,83,4832
2015/08,4800,22,37,4859
2015/09,4518,14,40,4572
2015/10,4817,24,38,4879
2015/11,4361,26,36,4423
2015/12,4555,22,54,4631
2016/01,3689,17,743,4449
2016/02,3467,19,298,3784
2016/03,5057,12,39920,44989
2016/04,5134,15,71863,77012
2016/05,5530,20,81634,87184
2016/06,5626,29,83721,89376
2016/07,5676,20,80134,85830
2016/08,5447,28,78065,83540
2016/09,5452,18,75957,81427
2016/10,5119,19,77128,82266
2016/11,5047,18,75609,80674
2016/12,4831,24,74936,79791
2017/01,4516,18,68204,72738
2017/02,3952,13,61250,65215
2017/03,4457,17,74364,78838
2017/04,4555,23,71004,75582
2017/05,5468,13,83640,89121
2017/06,5722,21,84650,90393
2017/07,5443,33,77393,82869
2017/08,5345,26,74384,79755
2017/09,5602,29,76475,82106
2017/10,5622,28,77810,83460
2017/11,5021,24,75899,80944
2017/12,4952,16,75786,80754
2018/01,4457,12,68647,73116
2018/02,4046,16,60757,64819
2018/03,4756,19,73273,78048
2018/04,4676,16,69877,74569
2018/05,5665,14,80453,86132
2018/06,5613,21,80658,86292
2018/07,5491,17,75964,81472
2018/08,5559,18,74447,80024
2018/09,5564,33,73278,78875
2018/10,5655,19,79018,84692
2018/11,5021,23,73697,78741
2018/12,5415,23,73980,79418
2019/01,4427,22,63246,67695
2019/02,4173,14,60650,64837
2019/03,4637,16,67298,71951
2019/04,4811,20,64197,69028
2019/05,5729,22,74315,80066
2019/06,5925,23,74182,80130
2019/07,5657,21,69122,74800
2019/08,5494,22,63540,69056
2019/09,5312,21,64798,70131
2019/10,5270,20,65379,70669
2019/11,4769,18,63281,68068
2019/12,5184,25,62628,67837
2020/01,4228,20,52306,56554
2020/02,4044,21,50103,54168
2020/03,3164,8,39916,43088
2020/04,1312,14,12918,14244
2020/05,2551,12,19395,21958
2020/06,3635,32,23758,27425
2020/07,4353,23,28534,32910
2020/08,4733,22,29616,34371
2020/09,4695,37,29215,33947
2020/10,4356,27,29651,34034
2020/11,4118,31,27401,31550
2020/12,3425,21,25488,28934
2021/01,3124,17,23635,26776
2021/02,2555,12,20980,23547
2021/03,3526,18,25524,29068
2021/04,4097,27,27081,31205
2021/05,5040,33,31214,36287
2021/06,5086,27,32061,37174
2021/07,4829,29,29844,34702
2021/08,4912,27,29138,34077
2021/09,4968,25,29399,34392
2021/10,5029,33,30668,35730
2021/11,4505,24,28684,33213
2021/12,4100,22,25692,29814
2022/01,3183,21,23467,26671
2022/02,3329,26,22052,25407
2022/03,4203,16,26958,31177
2022/04,4149,10,25930,30089
2022/05,4699,27,28955,33681
2022/06,4968,21,28324,33313
2022/07,4820,38,26014,30872
2022/08,2905,13,15523,18441
