PERIODO,QTY_MALE,QTY_FEMALE,QTY_UNDEFINED,QTY_TOTAL
2012/07,13,0,4880,4893
2012/08,7,3,4781,4791
2012/09,7,6,4719,4732
2012/10,9,3,4589,4601
2012/11,1,1,4008,4010
2012/12,21,4,4619,4644
2013/02,11,3,3584,3598
2013/03,4,0,4210,4214
2013/04,2,1,4456,4459
2013/05,7,7,5041,5055
2013/06,11,6,5137,5154
2013/07,13,7,5109,5129
2013/08,12,11,4883,4906
2013/09,10,5,5021,5036
2013/10,9,6,4869,4884
2013/11,6,2,4742,4750
2013/12,9,3,4314,4326
2014/01,7,8,3944,3959
2014/02,27,10,3125,3162
2014/03,21,17,3874,3912
2014/04,21,21,4076,4118
2014/05,12,1,4686,4699
2014/06,25,15,5012,5052
2014/07,27,10,4638,4675
2014/08,9,2,4502,4513
2014/09,26,8,4496,4530
2014/10,11,8,4744,4763
2014/11,15,3,4274,4292
2014/12,26,11,4141,4178
2015/01,15,4,3505,3524
2015/03,34,12,3703,3749
2015/04,32,7,3954,3993
2015/05,35,16,4864,4915
2015/06,57,25,4690,4772
2015/07,48,23,4761,4832
2015/08,21,10,4828,4859
2015/09,30,8,4534,4572
2015/10,22,12,4845,4879
2015/11,19,11,4393,4423
2015/12,29,19,4583,4631
2016/01,433,208,3808,4449
2016/02,165,81,3538,3784
2016/03,22519,12011,10459,44989
2016/04,39815,21419,15778,77012
2016/05,45746,24471,16967,87184
2016/06,46540,25064,17772,89376
2016/07,45595,23749,16486,85830
2016/08,46154,23352,14034,83540
2016/09,44655,23040,13732,81427
2016/10,44786,23824,13656,82266
2016/11,44312,22806,13556,80674
2016/12,43691,22689,13411,79791
2017/01,40355,20335,12048,72738
2017/02,36190,18113,10912,65215
2017/03,43377,22034,13427,78838
2017/04,41798,21665,12119,75582
2017/05,49237,25220,14664,89121
2017/06,49495,26106,14792,90393
2017/07,45720,23939,13210,82869
2017/08,44336,22313,13106,79755
2017/09,45509,23136,13461,82106
2017/10,46188,23749,13523,83460
2017/11,45104,22919,12921,80944
2017/12,45045,22834,12875,80754
2018/01,41364,19826,11926,73116
2018/02,36355,17767,10697,64819
2018/03,43482,21761,12805,78048
2018/04,41178,21169,12222,74569
2018/05,47728,24330,14074,86132
2018/06,47520,24833,13939,86292
2018/07,45144,23331,12997,81472
2018/08,45135,22115,12774,80024
2018/09,44238,21920,12717,78875
2018/10,47147,23821,13724,84692
2018/11,43985,21964,12792,78741
2018/12,44131,22806,12481,79418
2019/01,37905,18704,11086,67695
2019/02,36479,17998,10360,64837
2019/03,40031,20078,11842,71951
2019/04,38339,19067,11622,69028
2019/05,44563,22459,13044,80066
2019/06,44425,22626,13079,80130
2019/07,41561,20910,12329,74800
2019/08,38528,19121,11407,69056
2019/09,39124,19429,11578,70131
2019/10,39384,19580,11705,70669
2019/11,38249,18678,11141,68068
2019/12,37990,19133,10714,67837
2020/01,31630,15713,9211,56554
2020/02,30641,14656,8871,54168
2020/03,24368,11755,6965,43088
2020/04,8325,3460,2459,14244
2020/05,12609,5676,3673,21958
2020/06,15605,7382,4438,27425
2020/07,18779,8994,5137,32910
2020/08,19467,9749,5155,34371
2020/09,19287,9328,5332,33947
2020/10,19349,9610,5075,34034
2020/11,18148,8577,4825,31550
2020/12,16444,7857,4633,28934
2021/01,15211,7274,4291,26776
2021/02,13616,6117,3814,23547
2021/03,16435,8011,4622,29068
2021/04,17805,8694,4706,31205
2021/05,20485,10379,5423,36287
2021/06,21073,10516,5585,37174
2021/07,19514,10041,5147,34702
2021/08,19265,9795,5017,34077
2021/09,19299,9891,5202,34392
2021/10,20444,10167,5119,35730
2021/11,18857,9456,4900,33213
2021/12,16956,8512,4346,29814
2022/01,15294,7435,3942,26671
2022/02,14582,7077,3748,25407
2022/03,17459,9076,4642,31177
2022/04,17165,8543,4381,30089
2022/05,19100,9723,4858,33681
2022/06,18867,9666,4780,33313
2022/07,17698,8798,4376,30872
2022/08,10632,5222,2587,18441
