PERIODO,QTY_BICYCLIST,QTY_OCCUPANT,QTY_OTHER_MOTORIZED,QTY_PEDESTRIAN,QTY_TOTAL
2012/07,454,3578,0,861,4893
2012/08,509,3417,0,865,4791
2012/09,435,3391,0,906,4732
2012/10,330,3281,0,990,4601
2012/11,277,2688,0,1045,4010
2012/12,212,3121,0,1311,4644
2013/01,192,2746,0,1134,4072
2013/02,131,2470,0,997,3598
2013/03,196,3017,0,1001,4214
2013/04,290,3256,0,913,4459
2013/05,402,3664,0,989,5055
2013/06,511,3659,0,984,5154
2013/07,470,3792,0,867,5129
2013/08,525,3513,0,868,4906
2013/09,479,3543,0,1014,5036
2013/10,431,3372,0,1081,4884
2013/11,284,3334,0,1132,4750
2013/12,175,2967,0,1184,4326
2014/01,121,2744,0,1094,3959
2014/02,95,2238,0,829,3162
2014/03,190,2752,0,970,3912
2014/04,311,2935,0,872,4118
2014/05,392,3406,0,901,4699
2014/06,476,3620,0,956,5052
2014/07,542,3338,0,795,4675
2014/08,505,3268,0,740,4513
2014/09,490,3268,0,772,4530
2014/10,431,3338,0,994,4763
2014/11,282,2978,0,1032,4292
2014/12,186,2778,0,1214,4178
2015/01,116,2493,0,915,3524
2015/02,82,2181,0,759,3022
2015/03,162,2784,0,803,3749
2015/04,306,2980,0,707,3993
2015/05,475,3621,0,819,4915
2015/06,442,3573,0,757,4772
2015/07,578,3560,0,694,4832
2015/08,572,3543,0,744,4859
2015/09,519,3263,0,790,4572
2015/10,410,3397,0,1072,4879
2015/11,343,3051,0,1029,4423
2015/12,292,3209,0,1130,4631
2016/01,166,3363,0,920,4449
2016/02,169,2654,0,961,3784
2016/03,396,43631,0,962,44989
2016/04,494,75534,0,984,77012
2016/05,619,85604,0,961,87184
2016/06,755,87665,0,956,89376
2016/07,727,84218,0,885,85830
2016/08,780,81850,0,910,83540
2016/09,762,79731,0,934,81427
2016/10,630,80472,0,1164,82266
2016/11,508,78941,0,1225,80674
2016/12,327,78288,0,1176,79791
2017/01,257,71237,0,1244,72738
2017/02,295,63984,0,936,65215
2017/03,306,77448,0,1084,78838
2017/04,495,74238,0,849,75582
2017/05,618,87427,0,1076,89121
2017/06,767,88675,0,951,90393
2017/07,734,81267,0,868,82869
2017/08,689,78206,0,860,79755
2017/09,726,80332,0,1048,82106
2017/10,614,81643,0,1203,83460
2017/11,453,79360,0,1131,80944
2017/12,313,79245,0,1196,80754
2018/01,245,71724,0,1147,73116
2018/02,283,63438,0,1098,64819
2018/03,312,76670,0,1066,78048
2018/04,408,73323,0,838,74569
2018/05,610,84548,0,974,86132
2018/06,702,84674,0,916,86292
2018/07,694,79975,0,803,81472
2018/08,772,78426,0,826,80024
2018/09,674,77228,0,973,78875
2018/10,623,82982,0,1087,84692
2018/11,412,77087,0,1242,78741
2018/12,323,77653,0,1442,79418
2019/01,278,66273,0,1144,67695
2019/02,295,63598,0,944,64837
2019/03,353,70664,0,934,71951
2019/04,486,67704,0,838,69028
2019/05,599,78467,0,1000,80066
2019/06,694,78603,0,833,80130
2019/07,771,73256,0,773,74800
2019/08,927,67319,0,810,69056
2019/09,905,68305,0,921,70131
2019/10,727,68892,0,1050,70669
2019/11,519,66520,0,1029,68068
2019/12,412,65990,0,1435,67837
2020/01,380,55184,0,990,56554
2020/02,389,52859,0,920,54168
2020/03,395,42073,0,620,43088
2020/04,207,13869,0,168,14244
2020/05,572,21063,0,323,21958
2020/06,796,26159,0,470,27425
2020/07,860,31461,0,589,32910
2020/08,883,32942,0,546,34371
2020/09,921,32372,0,654,33947
2020/10,787,32511,0,736,34034
2020/11,679,30140,0,731,31550
2020/12,400,27875,0,659,28934
2021/01,371,25816,0,589,26776
2021/02,180,22926,0,441,23547
2021/03,422,28018,46,582,29068
2021/04,440,29943,219,603,31205
2021/05,634,34614,312,727,36287
2021/06,670,35457,344,703,37174
2021/07,603,33147,325,627,34702
2021/08,631,32486,317,643,34077
2021/09,640,32633,334,785,34392
2021/10,651,33848,347,884,35730
2021/11,494,31648,239,832,33213
2021/12,395,28334,200,885,29814
2022/01,229,25565,110,767,26671
2022/02,261,24230,125,791,25407
2022/03,396,29751,189,841,31177
2022/04,461,28682,217,729,30089
2022/05,608,32042,280,751,33681
2022/06,740,31515,342,716,33313
2022/07,687,29129,351,705,30872
2022/08,410,17371,223,437,18441
